Tweet,Sentiment
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
rt @ericgarland: mark zuckerberg allows kyle rittenhouse back on facebook. https://t.co/eudj2dgvcw,1
"rt @metaworld_game: ‼️our pre-sale is around the corner‼️

islanders! are ya'all ready? 🏝️
⏰this saturday, december 4, 2021 at 8:00 am (utc…",1
"rt @metaworld_game: land ahoy! 🏝️

our island masters have set forth to the meta-world.
welcome aboard ambassadors!

unfurl the banners and…",1
"rt @meta_lordz: greetings lordz army💫

only 8 days left for mint (pre-sale) 🔥 limited whitelist spots left💥

we are announcing #giveaway of…",1
rt @edenbfkn: “a rat that strays far from its hole” - that is how @abiyahmedali and his regime reference tigrayans. the hate speech by ethi…,1
"rt @defy_trends: top-10🏆 p2e games by incoming cash to dapp👇

$axs $jewel $thg $dxct $bnx $meta $fara $mbox $ilv #metaverse #gamefi #nft ht…",1
"rt @metaworld_game: land ahoy! 🏝️

our island masters have set forth to the meta-world.
welcome aboard ambassadors!

unfurl the banners and…",1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
"rt @entropydex: 📢entropy big announcement!!📢

🔥@entropydex constellations🌌 nft is ready release in metaverse.🌑 #nftcollection #meta #nft

💡…",1
"rt @metaworld_game: ‼️our pre-sale is around the corner‼️

islanders! are ya'all ready? 🏝️
⏰this saturday, december 4, 2021 at 8:00 am (utc…",1
mark changing to meta definitely got these brands shook😭 they not tryna be left behind or the last ones to the meta verse,1
"rt @metafifagames: 🔥 meta fifa token presale is live🚀
🔥1bnb=12000 mtf, after listing 1bnb=1200mtf🚀🚀 
🔥27,000,000 mtf for sale 🚀
🔥get 75% bo…",1
"rt @piratewarsnft: a little over 2 hours left (6pm utc/gmt) until we open our launchpad for the pre-sales!

pre-sales launchpad: https://t.…",1
what wallet you suggest i use instead of meta mask since i live in texas @thekriskay ?! not sure if you mentioned t… https://t.co/cihc6ujeur,1
"rt @cryptotrader140: meta space members..
start referring more friends..

https://t.co/onpanjhoor

😍😍giveaway..😍😍
1) 20 bnb...1000000 sq me…",1
rt @uponlyofficial: uponly is happy to announce another #ama today. our ceo @natthapolma will hold an #ama with @theleakcapital’s community…,1
rt @manymanywords: grimly accepting that someday in the future i will probably buy expensive glasses to walk around seeing ads that aren't…,1
rt @alibreland: i think those van gogh immersive experiences are a useful parable for what the metaverse zuckerberg is pursuing: a cash gra…,1
rt @manymanywords: grimly accepting that someday in the future i will probably buy expensive glasses to walk around seeing ads that aren't…,1
"all good guards are gonna find a new meta very soon, and y’all just gonna complain again",1
"rt @battlecatznft: we are giving away 300 wl spots for one of our launchpad projects @meta_mafia🤩

- follow @battlecatznft &amp; @meta_mafia
-…",1
"@meta i came to twitter to get rid of facebook, you may have changed your name but i still know who you are. stop stalking me.",1
rt @manymanywords: grimly accepting that someday in the future i will probably buy expensive glasses to walk around seeing ads that aren't…,1
"rt @quicktake: 🖥️ “the best way i understand it is as a replacement for the web browser.”

what is the metaverse? facebook, now meta, found…",1
@merve_swap good project @aspoworld @airdropquestx @meta_ecosystem,1
"(update) solpunks' sales from the past 24 hrs!
🚀⛵️

https://t.co/bzzyl7o6o3
@punksdaosales

@solpunksdao… https://t.co/vpgpxuoe6y",1
"meta space members..
start referring more friends..

https://t.co/onpanjhoor

😍😍giveaway..😍😍
1) 20 bnb...1000000 sq… https://t.co/lymomrq9lg",1
@gemsscope @traveller_oo @meta_lordz when someone asks what investment will always make you feel good and happy. ca… https://t.co/jdlp3kdhls,1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
never have privacy ? i am sure @meta would be interested in this. https://t.co/yahy8fjkc8,1
@_sabanaqvi @twitterindia @verified looks like the @paraga effect. but where’s the transparency? one must know the… https://t.co/00enbc1h4k,1
"@shannonsheriff1 $verse #friendshib #shibaverse #metaverse #useshibaswap 
#shibarmy #shib #meta #verse #nft… https://t.co/rhiucunenw",1
@cryptomon and @sripheonix follow  @funkynftco and join the whitelist soon.,1
"sure. i'm the one who made rey all about luke, have her a yellow saber and then released a luke comic where he sudd… https://t.co/kta1ss6amx",1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
"@rvivek also interesting meta headquartered at 1, hacker way 🤔",1
"rt @allfreeairdrop: meta space members..
start referring more friends..

https://t.co/lfy1p3dyvt

😍😍giveaway..😍😍
1) 20 bnb...1000000 sq met…",1
"rt @artworknft3d: 👉https://t.co/k3v8spmoc3
the alphabet to be used in the multiverse!!🎁as a gift the initial letter of your account !!
✅fol…",1
i’m jih anti meta but i’m well invested,1
"rt @gemsscope: 🎉 #nftgiveaway 🎉

introducing @meta_lordz 🔥
pre-sale mint date : 10 dec, 4pm utc 📌
win 1 metalordz #nft + 5 whitelist spots🎉…",1
"i wonder if zuckerberg was going to call it ""the meta"" and someone talked him down to just ""meta"".",1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
rt @mrktmeditations: just in: meta effectively ends #cryptocurrency ads ban,1
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
"rt @azizjoury: this figure from a meta-analysis that investigated the role of extracorporeal treatment for β-blockers poisoning.

among pts…",1
"rt @shibaver: @shannonsheriff1 $verse #friendshib #shibaverse #metaverse #useshibaswap 
#shibarmy #shib #meta #verse #nft #playtoearn #virt…",1
@exclusible @propertys_nft @beijingdou @carlalizardo_ im in there. i know i saw a story from meta annoucing the tes… https://t.co/xvis2toxur,1
"rt @airdropcrypto0: meta space members..
start referring more friends..

https://t.co/2x14ke6jog

😍😍giveaway..😍😍
1) 20 bnb...1000000 sq met…",1
"rt @shannonsheriff1: for the next 24 days we will be getting either a development update or surprise from the dev team!! 🛷 

$verse #friend…",1
"rt @piratewarsnft: a little over 2 hours left (6pm utc/gmt) until we open our launchpad for the pre-sales!

pre-sales launchpad: https://t.…",1
rt @ericgarland: mark zuckerberg allows kyle rittenhouse back on facebook. https://t.co/eudj2dgvcw,1
"$verse #friendshib #shibaverse #metaverse #useshibaswap 
#shibarmy #shib #meta #verse #nft #playtoearn… https://t.co/pmezsk40u5",1
"@nftgirlfay @metavillagenft @hedgehogmarket @quirkycorgis no mention of the conspiracy theories channel in meta village?
disgraceful🥲",1
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
"rt @metaworld_game: ‼️our pre-sale is around the corner‼️

islanders! are ya'all ready? 🏝️
⏰this saturday, december 4, 2021 at 8:00 am (utc…",1
"rt @thedaomaker: sho: muon network 

muon network; empowering the metaverse economy by introducing the meta-layer.
decentralized cloud comp…",1
rt @ericgarland: mark zuckerberg allows kyle rittenhouse back on facebook. https://t.co/eudj2dgvcw,1
"rt @battlecatznft: we are giving away 300 wl spots for one of our launchpad projects @meta_mafia🤩

- follow @battlecatznft &amp; @meta_mafia
-…",1
"meta space members..
start referring more friends..

https://t.co/2x14ke6jog

😍😍giveaway..😍😍
1) 20 bnb...1000000 sq… https://t.co/vl4eizul0j",1
